study,closeness
data/raw/social_link/Collaboration_Network_appel2015.csv,0.002363445
data/raw/social_link/Collaboration_Network_asperholm2019.csv,0.000466696
data/raw/social_link/Collaboration_Network_berrios2015.csv,0.000444511
data/raw/social_link/Collaboration_Network_burgdorf2019.csv,0.000577696
data/raw/social_link/Collaboration_Network_chi2018.csv,0.00065111
data/raw/social_link/Collaboration_Network_clark2017.csv,0.006246023
data/raw/social_link/Collaboration_Network_danielsson2015.csv,0.008870759
data/raw/social_link/Collaboration_Network_dodell-feder2018.csv,0.003795541
data/raw/social_link/Collaboration_Network_flack2018.csv,0.000486505
data/raw/social_link/Collaboration_Network_fox2016.csv,0.000454807
data/raw/social_link/Collaboration_Network_gordon2015.csv,0.001562332
data/raw/social_link/Collaboration_Network_hoyniak2017.csv,0.000451105
data/raw/social_link/Collaboration_Network_johnsen2015.csv,0.00048967
data/raw/social_link/Collaboration_Network_klaus2018.csv,0.000442875
data/raw/social_link/Collaboration_Network_margoni2018.csv,0.001548697
data/raw/social_link/Collaboration_Network_marion2016.csv,0.000447006
data/raw/social_link/Collaboration_Network_mehl2015.csv,0.000785503
data/raw/social_link/Collaboration_Network_moreno-alcazar2017.csv,0.002387912
data/raw/social_link/Collaboration_Network_obeid2016.csv,0.000947124
data/raw/social_link/Collaboration_Network_pedersen2017.csv,0.000922262
data/raw/social_link/Collaboration_Network_pool2016.csv,0.000444286
data/raw/social_link/Collaboration_Network_rasing2017.csv,0.00075142
data/raw/social_link/Collaboration_Network_scionti2020.csv,0.000451674
data/raw/social_link/Collaboration_Network_shields2017.csv,0.000526348
data/raw/social_link/Collaboration_Network_sierra-diaz2019.csv,0.00137139
data/raw/social_link/Collaboration_Network_tannenbaum2015.csv,0.000435273
data/raw/social_link/Collaboration_Network_ulrichsen2016.csv,0.003757591
data/raw/social_link/Collaboration_Network_williams2016a.csv,0.001553802
data/raw/social_link/Collaboration_Network_williams2016b.csv,0.003768468
data/raw/social_link/Collaboration_Network_williams2016c.csv,0.004168706
data/raw/social_link/Collaboration_Network_xie2018.csv,0.001582647
data/raw/social_link/Collaboration_Network_xie2019.csv,0.000597365
data/raw/social_link/Collaboration_Network_yuan2019.csv,0.000500651
data/raw/social_link/Collaboration_Network_zell2019.csv,0.000459797
